region,month,Autotrader,Carma,Cars24,Carsales,Easyauto123
NSW,2024-10,1.5,1.6,1.1,95.3,0.5
NSW,2024-11,1.5,1.6,1.1,95.3,0.4
NSW,2024-12,1.6,1.5,1.2,95.3,0.5
NSW,2025-01,1.7,1.6,1.1,95.1,0.5
NSW,2025-02,1.6,1.5,1.2,95.2,0.5
NSW,2025-03,1.5,1.6,1.1,95.3,0.5
NSW,2025-04,1.5,1.5,1.1,95.4,0.5
NSW,2025-05,1.5,1.9,1.2,94.9,0.5
NSW,2025-06,1.6,1.8,1.2,94.8,0.6
NSW,2025-07,1.7,2.1,1.2,94.4,0.6
NSW,2025-08,1.6,2.3,1.3,94.3,0.6
NSW,2025-09,1.7,2.4,1.4,94.0,0.6
NSW,2025-10,1.8,2.7,1.4,93.6,0.6
NSW,2025-11,1.8,3.0,1.6,93.1,0.6
NSW,2025-12,1.8,2.7,1.5,93.4,0.6
NSW,2026-01,1.8,2.6,1.7,93.3,0.6
NSW,2026-02,1.9,2.9,1.6,93.0,0.6
NSW,2026-03,1.9,3.1,2.0,92.4,0.7
NSW,2026-04,1.7,3.2,1.8,92.6,0.7
NSW,2026-05,1.7,3.8,1.8,92.0,0.7
QLD,2024-10,2.1,0.1,1.4,95.6,0.8
QLD,2024-11,2.0,0.1,1.4,95.7,0.8
QLD,2024-12,2.0,0.1,1.2,95.8,0.9
QLD,2025-01,2.0,0.1,1.3,95.6,1.0
QLD,2025-02,2.1,0.1,1.4,95.4,1.0
QLD,2025-03,2.2,0.1,1.3,95.4,1.0
QLD,2025-04,2.1,0.1,1.3,95.5,1.0
QLD,2025-05,2.1,0.3,1.3,95.1,1.2
QLD,2025-06,2.3,0.1,1.4,95.0,1.2
QLD,2025-07,2.3,0.1,1.4,95.0,1.2
QLD,2025-08,2.2,0.1,1.6,95.0,1.2
QLD,2025-09,2.3,0.1,1.6,94.8,1.2
QLD,2025-10,2.2,0.2,1.5,95.0,1.2
QLD,2025-11,2.2,0.3,1.6,94.8,1.2
QLD,2025-12,2.2,0.1,1.5,94.7,1.4
QLD,2026-01,2.3,0.1,1.7,94.6,1.4
QLD,2026-02,2.4,0.1,1.6,94.7,1.3
QLD,2026-03,2.3,0.2,2.0,94.2,1.4
QLD,2026-04,2.1,0.2,1.7,94.8,1.2
QLD,2026-05,2.2,0.2,1.7,94.4,1.4
VIC,2024-10,1.4,0.1,2.6,95.5,0.4
VIC,2024-11,1.4,0.1,2.4,95.7,0.4
VIC,2024-12,1.5,0.1,2.4,95.7,0.4
VIC,2025-01,1.5,0.1,2.4,95.6,0.4
VIC,2025-02,1.6,0.1,2.3,95.7,0.4
VIC,2025-03,1.6,0.2,2.3,95.6,0.4
VIC,2025-04,1.5,0.1,2.6,95.4,0.4
VIC,2025-05,1.5,0.3,2.5,95.3,0.4
VIC,2025-06,1.6,0.1,2.6,95.3,0.4
VIC,2025-07,1.7,0.2,2.5,95.2,0.4
VIC,2025-08,1.6,0.2,2.5,95.3,0.5
VIC,2025-09,1.6,0.2,2.6,95.1,0.5
VIC,2025-10,1.5,0.3,2.4,95.3,0.5
VIC,2025-11,1.6,0.4,2.6,95.0,0.5
VIC,2025-12,1.6,0.2,2.6,95.1,0.5
VIC,2026-01,1.6,0.2,2.6,95.1,0.5
VIC,2026-02,1.8,0.2,2.4,95.0,0.5
VIC,2026-03,1.8,0.2,2.9,94.5,0.6
VIC,2026-04,1.7,0.3,2.8,94.7,0.6
VIC,2026-05,1.6,0.2,3.0,94.6,0.6
