week_start,week,Autotrader,Carma,Cars24,Carsales,Easyauto123
2025-12-28,28 Dec – 03 Jan 2026,2.2,0.8,1.7,94.1,1.2
2026-01-04,04 Jan – 10 Jan 2026,2.2,0.9,1.8,94.0,1.2
2026-01-11,11 Jan – 17 Jan 2026,2.2,1.0,1.6,94.2,1.1
2026-01-18,18 Jan – 24 Jan 2026,2.2,0.9,1.6,94.1,1.1
2026-01-25,25 Jan – 31 Jan 2026,2.2,0.9,1.6,94.2,1.1
2026-02-01,01 Feb – 07 Feb 2026,2.2,1.0,1.6,94.2,1.1
2026-02-08,08 Feb – 14 Feb 2026,2.2,1.0,1.6,94.1,1.1
2026-02-15,15 Feb – 21 Feb 2026,2.4,1.0,1.6,93.9,1.1
2026-02-22,22 Feb – 28 Feb 2026,2.7,1.1,1.4,93.6,1.2
2026-03-01,01 Mar – 07 Mar 2026,2.6,1.1,1.6,93.5,1.2
2026-03-08,08 Mar – 14 Mar 2026,2.7,1.0,2.6,92.4,1.3
2026-03-15,15 Mar – 21 Mar 2026,2.2,1.1,1.8,93.7,1.3
2026-03-22,22 Mar – 28 Mar 2026,2.0,1.2,1.8,93.8,1.3
2026-03-29,29 Mar – 04 Apr 2026,2.1,1.1,1.9,93.8,1.2
2026-04-05,05 Apr – 11 Apr 2026,2.2,1.3,1.8,93.6,1.1
2026-04-12,12 Apr – 18 Apr 2026,2.2,1.1,1.7,93.7,1.2
2026-04-19,19 Apr – 25 Apr 2026,2.1,1.1,1.7,93.9,1.2
2026-04-26,26 Apr – 02 May 2026,2.1,1.2,1.9,93.6,1.2
2026-05-03,03 May – 09 May 2026,2.1,1.3,2.0,93.6,1.1
2026-05-10,10 May – 16 May 2026,2.1,1.4,1.8,93.4,1.3
2026-05-17,17 May – 23 May 2026,2.2,1.4,1.9,93.2,1.3
2026-05-24,24 May – 30 May 2026,2.3,1.4,1.8,93.3,1.3
2026-05-31,31 May – 06 Jun 2026,2.2,1.5,1.8,93.4,1.2
2026-06-07,07 Jun – 13 Jun 2026,2.0,1.4,2.0,93.3,1.2
2026-06-14,14 Jun – 20 Jun 2026,2.0,1.5,1.8,93.5,1.2
