month,AlbaCars,Automall,Cars24,Dubizzle,Kavak,RMAMotors
2023-01,0.9,3.8,4.7,89.4,1.0,0.2
2023-02,0.9,3.9,4.8,89.2,1.0,0.3
2023-03,1.0,4.0,5.1,88.6,1.0,0.3
2023-04,1.0,4.0,5.1,88.4,1.2,0.3
2023-05,0.9,3.5,5.1,88.9,1.2,0.3
2023-06,0.9,3.5,5.4,88.8,1.2,0.3
2023-07,0.9,3.4,5.6,88.6,1.3,0.3
2023-08,0.9,3.6,6.7,86.9,1.5,0.3
2023-09,0.9,3.8,6.3,86.7,2.0,0.3
2023-10,0.9,3.7,6.1,87.2,1.9,0.3
2023-11,0.9,3.7,5.7,87.5,2.0,0.3
2023-12,0.8,3.5,5.5,88.1,1.9,0.2
2024-01,0.9,3.7,5.5,87.8,1.8,0.3
2024-02,0.9,3.6,5.5,87.5,2.2,0.2
2024-03,1.0,4.0,5.6,86.8,2.3,0.3
2024-04,1.0,3.6,5.8,86.8,2.4,0.3
2024-05,1.0,4.2,6.1,85.8,2.6,0.3
2024-06,1.1,4.1,6.2,85.7,2.7,0.3
2024-07,1.0,4.1,6.3,85.3,2.9,0.3
2024-08,1.1,4.3,6.3,84.7,3.3,0.3
2024-09,1.0,4.5,6.0,84.9,3.2,0.3
2024-10,1.1,4.3,6.1,84.3,4.0,0.3
2024-11,1.1,4.1,5.9,84.1,4.5,0.3
2024-12,1.1,3.9,6.0,84.0,4.8,0.3
2025-01,1.1,4.0,6.1,83.8,4.8,0.3
2025-02,1.0,4.0,6.0,83.4,5.4,0.3
2025-03,1.2,4.4,6.3,81.9,5.8,0.3
2025-04,1.1,3.7,6.0,83.4,5.5,0.3
2025-05,1.2,3.9,6.0,82.7,5.9,0.3
2025-06,1.3,4.5,6.2,81.9,5.9,0.3
2025-07,1.2,4.4,6.3,82.1,5.7,0.3
2025-08,1.3,4.7,6.6,81.4,5.8,0.3
2025-09,1.3,4.6,6.5,82.2,5.0,0.3
2025-10,1.3,4.5,6.2,82.8,5.0,0.3
2025-11,1.4,4.6,5.9,82.9,4.8,0.3
2025-12,1.4,4.9,6.0,82.5,4.9,0.3
2026-01,1.6,4.9,6.3,81.8,5.1,0.4
2026-02,1.7,5.3,6.5,80.5,5.6,0.4
2026-03,1.6,3.7,5.8,83.9,4.7,0.3
2026-04,1.5,3.8,5.9,84.3,4.3,0.3
2026-05,1.7,4.5,6.4,82.2,4.9,0.4
2026-06,1.6,4.5,6.8,81.8,4.9,0.4
