month,total_impressions,mom_pct,yoy_pct
2023-11,891596,,
2023-12,978692,9.77,
2024-01,987119,0.86,
2024-02,920604,-6.74,
2024-03,945200,2.67,
2024-04,933281,-1.26,
2024-05,1037050,11.12,
2024-06,949018,-8.49,
2024-07,997545,5.11,
2024-08,1049081,5.17,
2024-09,977720,-6.8,
2024-10,981534,0.39,
2024-11,940959,-4.13,5.54
2024-12,1010234,7.36,3.22
2025-01,1036904,2.64,5.04
2025-02,980313,-5.46,6.49
2025-03,1109442,13.17,17.38
2025-04,1117430,0.72,19.73
2025-05,1192269,6.7,14.97
2025-06,1203811,0.97,26.85
2025-07,1282984,6.58,28.61
2025-08,1227712,-4.31,17.03
2025-09,1285075,4.67,31.44
2025-10,1235305,-3.87,25.85
2025-11,1227982,-0.59,30.5
2025-12,1406451,14.53,39.22
2026-01,1425147,1.33,37.44
2026-02,1280226,-10.17,30.59
2026-03,1385541,8.23,24.89
2026-04,1388482,0.21,24.26
2026-05,1608434,15.84,34.91
